"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"y_pred[13,29]",1.869,0.00539284933726455,0.337442538614675,1,2,2,2,2,3915.28233182624,0.999687090609186
"y_pred[13,30]",1.59725,0.00760205364069842,0.490512576950925,1,1,2,2,2,4163.30698668953,1.00007586168848
"y_pred[13,31]",1.713,0.00723314470677729,0.452418136840949,1,1,2,2,2,3912.24195688157,1.00008616437697
"y_pred[13,32]",1.76775,0.00671482193585947,0.422320406956061,1,2,2,2,2,3955.62519079401,0.99919303619735
"y_pred[13,33]",1.81975,0.00611432411769846,0.384443606685923,1,2,2,2,2,3953.37828445957,0.999496014211767
"y_pred[13,34]",1.8465,0.00582057064246442,0.360513859041009,1,2,2,2,2,3836.30210806509,0.999495152474257
"y_pred[13,35]",1.93775,0.00389178018280174,0.241639266022145,1,2,2,2,2,3855.124528477,1.00080722132962
"y_pred[13,36]",1.94975,0.00344108480386719,0.218487692371743,1,2,2,2,2,4031.4678806367,0.99969910552749
"y_pred[13,37]",1.95725,0.00324592052031214,0.202318241065078,1,2,2,2,2,3885.0294773836,0.999431302392508
"y_pred[13,38]",1.96125,0.00304992686914017,0.193022672082801,1,2,2,2,2,4005.32530880455,1.0006725346558
"y_pred[13,39]",1.96275,0.00297804233817763,0.189397479791411,1,2,2,2,2,4044.70317663246,1.00041771603881
"y_pred[13,40]",1.96775,0.00272012738536795,0.176685432154108,1,2,2,2,2,4219.13090788079,0.999373494066763
"y_pred[13,41]",1.50375,0.00789901411072884,0.500048447265266,1,1,2,2,2,4007.54480764215,1.00012101289674
"y_pred[13,42]",1.59725,0.00779497997875097,0.490512576950925,1,1,2,2,2,3959.77296863336,1.00072840559267
"y_pred[13,43]",1.66175,0.00773881264673767,0.47317323543041,1,1,2,2,2,3738.45086497075,1.00020874617531
"y_pred[13,44]",1.3425,0.00777533749698885,0.474605164864047,1,1,1,2,2,3725.85905425537,1.00063980992875
"y_pred[13,45]",1.45725,0.0081224944720512,0.49823136806511,1,1,1,2,2,3762.55870392491,0.999985073796833
"y_pred[13,46]",1.57075,0.00782928396183582,0.495031010569395,1,1,2,2,2,3997.79685008181,0.999918461390932
"y_pred[13,47]",1.64425,0.00785699871335419,0.478799801391409,1,1,2,2,2,3713.59517739565,0.99943172035776
"y_pred[13,48]",1.32425,0.00750934643114035,0.46815246360806,1,1,1,2,2,3886.60447020784,1.00019043802129
"y_pred[13,49]",1.43525,0.00802676782887491,0.495851696302616,1,1,1,2,2,3816.12159025585,0.999922401636621
"y_pred[13,50]",1.5335,0.00793144804089829,0.498938858975976,1,1,2,2,2,3957.21541374541,1.00065843228602
"y_pred[13,51]",1.62275,0.00787024383430523,0.484758893983725,1,1,2,2,2,3793.80667458306,0.999690028818577
"y_pred[13,52]",1.68875,0.00730493331337473,0.463062678544779,1,1,2,2,2,4018.34339941178,0.999833693397352
"y_pred[13,53]",1.357,0.00760912312121852,0.479174709370732,1,1,1,2,2,3965.68809456932,0.999527057861124
"y_pred[13,54]",1.4875,0.00807430980622074,0.499906217761531,1,1,1,2,2,3833.24218518209,0.999957429755838
"y_pred[13,55]",1.587,0.00797730281175373,0.492434384365802,1,1,2,2,2,3810.5229747521,0.999473078485084
"y_pred[13,56]",1.65825,0.00733341317787286,0.474355553143103,1,1,2,2,2,4184.03846973705,1.00003730782061
"y_pred[13,57]",1.35625,0.00719277904381258,0.478950191378452,1,1,1,2,2,4433.91398239411,1.00017721158478
"y_pred[13,58]",1.1705,0.00599885112905322,0.376118487021138,1,1,1,1,2,3931.09185825292,0.999224588163717
"y_pred[13,59]",1.25875,0.00678514184435599,0.438002738689811,1,1,1,2,2,4167.11791705465,1.00021849237248
"y_pred[13,60]",1.3835,0.00785500171770422,0.486299158664633,1,1,1,2,2,3832.7850840355,0.999312904863003
"y_pred[13,61]",1.499,0.00779009593645251,0.500061511595168,1,1,1,2,2,4120.60747890164,1.00090614171193
"y_pred[13,62]",1.5955,0.00775347830773918,0.49085637919482,1,1,2,2,2,4007.88938322711,0.999501637580542
"y_pred[13,63]",1.65975,0.00731476683176447,0.473852373126778,1,1,2,2,2,4196.47988804065,0.999422977598037
"y_pred[13,64]",1.71925,0.00725346196527013,0.44942177571088,1,1,2,2,2,3838.99500014697,0.999409449683076
"y_pred[13,65]",1.8865,0.00499709334805314,0.317242668516834,1,2,2,2,2,4030.40105628405,1.00110280686798
"y_pred[13,66]",1.8965,0.00479103733475028,0.304648900766414,1,2,2,2,2,4043.33868115495,1.000656355527
"y_pred[13,67]",1.9155,0.00471247734922573,0.278170981185481,1,2,2,2,2,3484.37663830425,1.00072071996423
"y_pred[13,68]",1.92225,0.00436533941241348,0.267811254836413,1,2,2,2,2,3763.75734321114,0.999887661066011
"y_pred[13,69]",1.7535,0.00693911432034655,0.43102690872962,1,2,2,2,2,3858.34166295193,1.00015293992626
"y_pred[13,70]",1.50125,0.007904158518194,0.500060949023401,1,1,2,2,2,4002.53002623213,1.00168454592831
"y_pred[13,71]",1.49975,0.00781780608025412,0.500062449213374,1,1,1,2,2,4091.46367801891,0.99987601184171
"y_pred[13,72]",1.41225,0.00781077702361158,0.492301256987942,1,1,1,2,2,3972.58692791151,1.00055142607812
"y_pred[13,73]",1.324,0.00741131991170697,0.468058510971036,1,1,1,2,2,3988.49611271196,0.999766506823584
"y_pred[13,74]",1.2485,0.00691556463201382,0.432197233461938,1,1,1,1,2,3905.78808393169,1.00042269366571
"y_pred[13,75]",1.204,0.00665358850710341,0.40301936200577,1,1,1,1,2,3668.93439184744,0.999678562706397
"y_pred[13,76]",1.2575,0.00700043856959991,0.437311742799227,1,1,1,2,2,3902.39997966384,1.00019184421784
"y_pred[13,77]",1.2165,0.00675254804752308,0.411910387756713,1,1,1,1,2,3721.08955734733,1.00046526984669
"y_pred[13,78]",1.1845,0.00614089706775528,0.38793991073823,1,1,1,1,2,3990.84892073404,0.999906364993931
"y_pred[13,79]",1.146,0.00574395017849202,0.353150362869272,1,1,1,1,2,3780.05383530813,1.00017329921246
"y_pred[13,80]",1.132,0.00523265262315851,0.338533087249667,1,1,1,1,2,4185.6068654061,1.00003217728274
"y_pred[13,81]",1.511,0.00802422562965883,0.49994148194698,1,1,2,2,2,3881.79040862735,0.999612223837818
