"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu_p[1]",-1.43148978926834,0.00916884752372569,0.199010097028492,-1.81496291210541,-1.55502535517917,-1.43523598300614,-1.3081232424916,-1.02493734861963,471.10826319839,1.00566926414726
"mu_p[2]",2.47298091148591,0.0100513726809569,0.507651163801324,1.60424767250104,2.12310002141534,2.43035968269268,2.77871964153935,3.58982866859431,2550.82121612749,1.00062756057229
"mu_p[3]",-1.25465672781722,0.00812670009865119,0.18599080036711,-1.59421250270924,-1.3827333162991,-1.25823450426902,-1.13473746654499,-0.871150803493326,523.786692320656,1.00851399537085
"mu_p[4]",-0.510751002149678,0.0208301546815152,0.927120342274024,-2.23365874614945,-1.14618399067207,-0.545365383592779,0.0938333113445304,1.39132368693221,1981.0125663567,1.00274310560235
"sigma[1]",0.801978953669171,0.00714926013944773,0.18455114818666,0.519284033329997,0.671055733307882,0.777648538705187,0.906929958354324,1.23964791444745,666.363657170011,1.00798838342095
"sigma[2]",0.636036842956377,0.0180073016019231,0.555228737613946,0.0266396125200701,0.223170418650369,0.494114308289262,0.896885617667554,2.00552509707549,950.706789556014,1.00391255676842
"sigma[3]",0.78951790658872,0.00619406515932226,0.184002729564712,0.510968416494594,0.661928629873116,0.760422041729925,0.890277501611582,1.23165569916462,882.463988454661,1.00370061940884
"sigma[4]",16.2944058788365,1.23539135671587,26.5048816621418,3.02164025455299,5.82189683230258,9.0601891611659,16.1034396304023,80.9527368444487,460.301745801969,1.00730658394294
"A_pr[1]",-0.0157313767420179,0.0109505172859979,0.289918962145008,-0.567376664556561,-0.213299057768393,-0.0205440919406854,0.179921086893954,0.576264173130408,700.945048879571,1.00375309209502
"A_pr[2]",-2.03667573551468,0.0142218586572751,0.562732219865067,-3.22278523293138,-2.39450603672266,-1.99608746901953,-1.65024131652708,-1.01275055935391,1565.6361753718,1.00099135687415
"A_pr[3]",0.312393543977295,0.013084007964104,0.443822517557142,-0.535077769152606,0.00907355005482603,0.309968944547376,0.600476298570411,1.21731614087222,1150.63363645154,1.00382829617554
"A_pr[4]",0.227966094930921,0.0122612111493014,0.323047152025638,-0.389451749297277,0.00709276427996222,0.222114399481581,0.445868032932732,0.884111631707939,694.168800635167,1.00394367410219
