"col_sub","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80"
"5e3842b92fdfd2000fc286a4",1,1,1,2,1,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1
"5e554641ab5163543d2a5e68",1,2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2
"5e56b4a64a405106502621d5",1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1
"5e5e17c97593e912e086c640",1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,1
"5e66ff8266355b488818b546",1,2,1,1,1,2,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1
"5e7ddcce32be464766f41a9f",2,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,2,1
"5e82438f753a0e9712fab847",1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1
"5e830570cb2a14016d211daf",1,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1
"5e8346cef38186069077abef",2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1
"5e90f9116aeaa70f53e8d0be",1,2,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1
"5eb454fa96c34729ea5cebe8",2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2
"5ebabd40d9ef2902351e4445",2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1
"5ebc08ddd4c47104936833af",1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1
"5ebee36dc03b4414949c7b64",2,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
"5ec3b9e83f187802a6aa041e",2,2,1,1,2,2,2,1,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,2,2,1,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2
"5ec3e5be68bbf2081da1eba2",2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2
"5ec839d3a4474212eeb466fd",1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2
"5eca59d552879b0265b950db",2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1
"5ee00d770fc66934e2600d81",2,1,2,2,2,1,2,1,2,1,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1
"5ee38279bac993000cf7dc36",2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1,2,1,1,1,2,1,1,1,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,1,1,1,2,2,2,1,2,2,1,2,1,1,2,2,2,1,1,1,2,1
"5ef66717308099348c0b0d77",2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1
"5ef8a0b375e30603ebc12510",2,2,2,1,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1
"5efc09f47de304000887c818",2,1,1,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2
"5eff00434e0633023ab50cd6",1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1
"5f019a790e875e2eb1941297",2,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,1,2,1
"5f05f1b685012f012ed7520d",2,1,2,2,1,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2
"5f0b72a791111646feea88bb",1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2
"5f0c3e690df38a030b191944",2,2,1,1,1,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1
"5f10d14674af623fdcb0be73",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1
"5f1ea62ffe31fc8813eba0e6",2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1
"5f1f459122764312bfbe265e",2,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,2,2,2,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1
"5f23525ad6bca511d420f843",1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,1,1,2,2,1,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2
"5f2352b4912f8710d7e186c8",2,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,1
"5f2b1ae94aaecd4e99001169",1,2,2,2,1,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2
"5f2ec675dc868c27396af845",2,1,2,1,1,2,2,2,2,1,2,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1
"5f325435f0fc671a7434cabe",2,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,2,1,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,1,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,2
"5f3287b83428cb05746e2214",2,2,1,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1
"5f341b3f18eb122c6c70507e",1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2
"5f3444a26880be32a06fa086",1,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,2
"5f3567de0db2f8107f42191e",1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1
"5f403abe0ce1231613c2b66a",2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1
"5f416e47e5a1d60f8aa64e83",2,1,2,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1
"5f47d860b56e68220cb86be1",1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1,2,2,1,2,2
"5f4bad079e422605bdd896dd",2,2,1,1,2,2,1,1,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,2,2
"5f4cbdf9f599118d27c21442",2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2
"5f4d581516547c15e8bb392e",1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1,2
"5f4e2cd9edde0cb197d6b0b2",2,1,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,1,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,2
"5f4ea48e343f530cbee14cdc",2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1
"5f64f12fc0570701c3bfbe7a",2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1
