"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"tbtPE[18,68]",0.209034805514875,0.00234998348518967,0.0962260291921079,0.0472319067655155,0.138400459454004,0.200024820175633,0.271204450737696,0.415598880717988,1676.70055925109,1.0028472331847
"tbtPE[18,69]",0.133210767966791,0.00200185433854412,0.0832667637074013,0.0153744400907999,0.0698827638399671,0.117824637764405,0.181993108523413,0.326692326308816,1730.12875285052,1.00264603874603
"tbtPE[18,70]",0.0872013933598095,0.00160691385550835,0.068648662133966,0.00501596891944312,0.0353211012428309,0.0696221702458503,0.122594262851697,0.258135047696356,1825.06764036397,1.00240704923933
"tbtPE[18,71]",0.0900235339962381,0.00178297744941014,0.0846664998141948,0.00328111011749095,0.0280380015351767,0.0632853974598018,0.123552788143346,0.319081037620303,2254.921935214,1.00326682829971
"tbtPE[18,72]",0.0586272389236318,0.00140926336291815,0.0615083974169343,0.00117166276504957,0.0144100114335516,0.037840852620465,0.080839856783861,0.22831782954434,1904.95403233455,1.00347860189462
"tbtPE[18,73]",0.0393184224120843,0.00110120083698913,0.0468404935542138,0.000427093866380512,0.00743440861134981,0.0223716011279331,0.053300038452445,0.171607245496607,1809.29698491121,1.00326752764006
"tbtPE[18,74]",0.0270021780253905,0.000869192705548017,0.0364494652087035,0.000152929304506796,0.00381379793043096,0.0132279706107375,0.0346739709481195,0.13517100981456,1758.53159439066,1.00294346255848
"tbtPE[18,75]",-1.98108519730415,0.000687619101040856,0.0287204584531389,-1.99994801084058,-1.99803036509525,-1.9922728043316,-1.97721210559897,-1.89494540096919,1744.56386089402,1.00261236520862
"tbtPE[18,76]",0.847533602494988,0.00565509137747475,0.227944387945522,0.490694607312723,0.673727311520423,0.825605913339281,0.992338509660109,1.34907377245155,1624.72010537512,1.00363548294438
"tbtPE[18,77]",0.466489880904448,0.000824974386293797,0.036755930194799,0.381736994014155,0.44742323002221,0.479073120305915,0.495630228940572,0.500912925437884,1985.06122616923,1.00057710792494
"tbtPE[18,78]",0.269975122369758,0.00103002328477085,0.0459764851731487,0.142904935945369,0.252766918111327,0.286870235790597,0.301806940709781,0.318443224701811,1992.40420292712,1.00385202170206
"tbtPE[18,79]",0.162558790651072,0.00132957948854803,0.0530404471117289,0.0465107133879291,0.127614565749302,0.169046650282139,0.203029583601811,0.245774970866043,1591.4233996803,1.00382380011365
"tbtPE[18,80]",0.101171858820307,0.0012127194482724,0.0484591823841041,0.0151376610296508,0.0644252513012846,0.0996841681847484,0.136133376023131,0.193906414531125,1596.72998113251,1.00352736546899
"tbtPE[18,81]",0.691783639679128,0.00108983324857117,0.0460339303828006,0.627509837448258,0.659644688783824,0.682507040622431,0.714687743192244,0.804573500668989,1784.16907217873,1.0044154015448
"tbtPE[18,82]",0.398038879041406,0.00155009035036731,0.0629119130445663,0.262258536854112,0.360164044113225,0.403052142682374,0.443322259796931,0.500598145970684,1647.22057266629,1.00338753956386
"tbtPE[18,83]",-1.7287722960186,0.00239489109251489,0.103707328462137,-1.902890870399,-1.80005180139146,-1.73736816620988,-1.66912374224383,-1.48403142785152,1875.19897205121,1.00433207469349
"tbtPE[18,84]",-0.997716778482213,0.00391272321126575,0.168936927931541,-1.25772346033442,-1.12208270568337,-1.02124431468046,-0.9003076121013,-0.614726320815542,1864.19325124632,1.00286062611678
"tbtPE[18,85]",0.691783639679128,0.00108983324857117,0.0460339303828006,0.627509837448258,0.659644688783824,0.682507040622431,0.714687743192244,0.804573500668989,1784.16907217873,1.0044154015448
"tbtPE[18,86]",0.36643659562624,0.00134136649869293,0.0933992257818657,0.120579325599993,0.325512670002705,0.383021781844836,0.430103111306364,0.495864220621876,4848.32407600336,1.00017925405727
"tbtPE[18,87]",0.220937323177643,0.00180145300296333,0.0874653228846282,0.0489307944153517,0.160527135813194,0.221477076706384,0.282844550851725,0.387334444832494,2357.36013144696,1.00129962981163
"tbtPE[18,88]",0.138012550020128,0.00167947954845257,0.0758473187091774,0.0160029620551066,0.0804106782635896,0.129783054398216,0.187285287204159,0.303801938496663,2039.53435789881,1.00168767622396
"tbtPE[18,89]",0.0887998127783581,0.00140160770519269,0.0625797392685638,0.00583905444556908,0.0406575066778243,0.0759827825562751,0.124368194881623,0.238630426932281,1993.49222472788,1.00175513191407
"tbtPE[18,90]",-1.90980118549923,0.0015769548742128,0.0748247076745926,-1.99475278017923,-1.96629873045406,-1.93072832601607,-1.87491664794624,-1.71050918310593,2251.39411200396,1.00332739878207
"tbtPE[18,91]",-1.1077317553807,0.00497755630367012,0.207055708908355,-1.418043033455,-1.26494574515982,-1.13482808449309,-0.982408050305312,-0.643410465777712,1730.38226823483,1.0031608011722
"tbtPE[18,92]",1.32950380259831,0.0059930173041521,0.241963856441112,0.883175489789476,1.15216257976712,1.33027142406673,1.50402229203873,1.78961263433145,1630.08380269365,1.0032103223585
"tbtPE[18,93]",-1.25405518100988,0.00124997043093759,0.0598933825834267,-1.41738973757642,-1.26844893027334,-1.23449891250522,-1.22192416009209,-1.19193719853485,2295.92767766355,1.00220460554622
"tbtPE[18,94]",-0.727507090511589,0.00366860302298999,0.147071379735521,-1.02922411388568,-0.824117420767242,-0.716766601951112,-0.62631232062045,-0.461416266382965,1607.14438120689,1.0032889780283
"tbtPE[18,95]",1.55825587506315,0.0043062654022155,0.173073293315223,1.18837519540045,1.44777644724675,1.57739572072468,1.6838171312926,1.84980256248329,1615.31985091636,1.00316920811749
"tbtPE[18,96]",-1.11209929231539,0.0021956187295654,0.105086314867752,-1.39795196768499,-1.15088269593773,-1.07411229070227,-1.03695288756924,-1.02071189744244,2290.7540946841,1.00358226394646
"tbtPE[18,97]",-0.637034105849233,0.00240044107320664,0.0953390073136728,-0.838069918943368,-0.690105593985882,-0.630924205775988,-0.580393811430683,-0.454985978861026,1577.46289598998,1.00343365194184
"tbtPE[18,98]",-0.63311926476616,0.00539491298047926,0.212784890479244,-1.03148358436718,-0.784286213047014,-0.636318619943119,-0.484203504378644,-0.223941524268035,1555.65283373918,1.00410308701177
"tbtPE[18,99]",1.6057350706611,0.00498906966317807,0.1972237054256,1.18814296889734,1.47630581531547,1.62395049786841,1.75557309577925,1.92747382720356,1562.71252092391,1.00364858178049
